Page,URL,Description
1,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:1&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", ALL COMMODITIES
2,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:2&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 01 Live animals
3,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:3&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 02 Meat and edible meat offal
4,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:4&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 03 Fish, crustaceans, molluscs, aquatic invertebrates ne"
5,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:5&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 04 Dairy products, eggs, honey, edible animal product nes"
6,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:6&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 05 Products of animal origin, nes"
7,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:7&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 06 Live trees, plants, bulbs, roots, cut flowers etc"
8,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:8&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 07 Edible vegetables and certain roots and tubers
9,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:9&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 08 Edible fruit, nuts, peel of citrus fruit, melons"
10,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:10&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 09 Coffee, tea, mate and spices"
11,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:11&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 10 Cereals
12,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:12&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 11 Milling products, malt, starches, inulin, wheat glute"
13,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:13&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 12 Oil seed, oleagic fruits, grain, seed, fruit, etc, ne"
14,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:14&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 13 Lac, gums, resins, vegetable saps and extracts nes"
15,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:15&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 14 Vegetable plaiting materials, vegetable products nes"
